coso,site,channel,origen
"/7811748/as_web/chile/directo","as","web","amazonPrisa"
"/7811748/as_web/chile/fotogalerias","as","web","amazonPrisa"
"/7811748/as_web/chile/futbol","as","web","amazonPrisa"
"/7811748/as_web/chile/lomasvisto","as","web","amazonPrisa"
"/7811748/as_web/chile/masdeporte","as","web","amazonPrisa"
"/7811748/as_web/chile/opinion","as","web","amazonPrisa"
"/7811748/as_web/chile/portada","as","web","amazonPrisa"
"/7811748/as_web/chile/reportajes","as","web","amazonPrisa"
"/7811748/as_web/chile/tikitakas","as","web","amazonPrisa"
"/7811748/as_web/chile/videos","as","web","amazonPrisa"
"/7811748/as_web/ciclismo","as","web","amazonPrisa"
"/7811748/as_web/ciclismo/directo","as","web","amazonPrisa"
"/7811748/as_web/ciclismo/giro_de_italia","as","web","amazonPrisa"
"/7811748/as_web/ciclismo/infografia","as","web","amazonPrisa"
"/7811748/as_web/ciclismo/reportajes","as","web","amazonPrisa"
"/7811748/as_web/ciclismo/tour_de_francia","as","web","amazonPrisa"
"/7811748/as_web/ciclismo/videos","as","web","amazonPrisa"
"/7811748/as_web/ciclismo/vuelta_a_espana","as","web","amazonPrisa"
"/7811748/as_web/colombia/directo","as","web","amazonPrisa"
"/7811748/as_web/colombia/fotogalerias","as","web","amazonPrisa"
"/7811748/as_web/colombia/fotorrelato","as","web","amazonPrisa"
"/7811748/as_web/colombia/futbol","as","web","amazonPrisa"
"/7811748/as_web/colombia/infografia","as","web","amazonPrisa"
"/7811748/as_web/colombia/masdeporte","as","web","amazonPrisa"
"/7811748/as_web/colombia/masdeporte/portada","as","web","amazonPrisa"
"/7811748/as_web/colombia/opinion","as","web","amazonPrisa"
"/7811748/as_web/colombia/portada","as","web","amazonPrisa"
"/7811748/as_web/colombia/reportajes","as","web","amazonPrisa"
"/7811748/as_web/colombia/tikitakas","as","web","amazonPrisa"
"/7811748/as_web/colombia/videos","as","web","amazonPrisa"
"/7811748/as_web/deportes_accion","as","web","amazonPrisa"
"/7811748/as_web/deportes_accion/agua","as","web","amazonPrisa"
"/7811748/as_web/deportes_accion/mas_accion","as","web","amazonPrisa"
"/7811748/as_web/deportes_accion/mas_deportes","as","web","amazonPrisa"
"/7811748/as_web/deportes_accion/mtb","as","web","amazonPrisa"
"/7811748/as_web/deportes_accion/reportajes","as","web","amazonPrisa"
"/7811748/as_web/deportes_accion/snow","as","web","amazonPrisa"
"/7811748/as_web/deportes_accion/surf","as","web","amazonPrisa"
"/7811748/as_web/deportes_accion/tierra","as","web","amazonPrisa"
"/7811748/as_web/deportes_accion/urbano","as","web","amazonPrisa"
"/7811748/as_web/deporteyvida/videos","as","web","amazonPrisa"
"/7811748/as_web/en/infografia","as","web","amazonPrisa"
"/7811748/as_web/en/infografia/portada","as","web","amazonPrisa"
"/7811748/as_web/en/opinion","as","web","amazonPrisa"
"/7811748/as_web/en/portada","as","web","amazonPrisa"
"/7811748/as_web/en/reportajes","as","web","amazonPrisa"
"/7811748/as_web/en/videos","as","web","amazonPrisa"
"/7811748/as_web/encuestas","as","web","amazonPrisa"
"/7811748/as_web/entrevistas","as","web","amazonPrisa"
"/7811748/as_web/epik","as_epik","web","amazonPrisa"
"/7811748/as_web/epik/videos","as_epik","web","amazonPrisa"
